"code_lac","camp_annee","id_campagne","id_prelev_poisson","id_point_prelev","date_pose","heure_pose","date_releve","heure_releve","prof_min_point_pose","prof_max_point_pose","cd_engin_peche","strate"
"ABB39",2010,201,12037,11387,"27/07/2010","18.00.00","28/07/2010","07.45.00",17.5,18,"FP","0 - 5,9 m Pelagique"
"ABB39",2010,201,12038,11388,"27/07/2010","18.00.00","28/07/2010","07.45.00",17.5,18,"FP","0 - 5,9 m Pelagique"
"ABB39",2010,201,12039,11389,"27/07/2010","18.07.00","28/07/2010","07.52.00",6.8,7.6,"FB","6 -11,9 m [Protocole CEN]"
"ABB39",2010,201,12040,11390,"27/07/2010","18.12.00","28/07/2010","07.57.00",4,5.1,"FB","3 - 5,9 m [Protocole CEN]"
"ABB39",2010,201,12041,11391,"27/07/2010","18.15.00","28/07/2010","08.02.00",1.8,2.5,"FB","< 3 m [Protocole CEN]"
"ABB39",2010,201,12043,11393,"27/07/2010","18.20.00","28/07/2010","08.10.00",3.8,4.6,"FB","3 - 5,9 m [Protocole CEN]"
"ABB39",2010,201,12044,11394,"27/07/2010","18.24.00","28/07/2010","08.14.00",1.4,2,"FB","< 3 m [Protocole CEN]"
"ABB39",2010,201,12045,11395,"27/07/2010","18.27.00","28/07/2010","08.17.00",16,17,"FB","12 - 19,9 m [Protocole CEN]"
"ABB39",2010,201,12046,11396,"27/07/2010","18.32.00","28/07/2010","08.21.00",6.7,9.7,"FB","6 -11,9 m [Protocole CEN]"
"ABB39",2010,201,12047,11397,"27/07/2010","18.35.00","28/07/2010","08.25.00",4.8,5.1,"FB","3 - 5,9 m [Protocole CEN]"
"ABB39",2010,201,12048,11398,"27/07/2010","18.38.00","28/07/2010","08.28.00",3.6,4.5,"FB","3 - 5,9 m [Protocole CEN]"
"ABB39",2010,201,12049,11399,"27/07/2010","18.43.00","28/07/2010","08.32.00",1.6,3,"FB","< 3 m [Protocole CEN]"
"ABB39",2010,201,12050,11400,"27/07/2010","18.47.00","28/07/2010","08.35.00",2.1,2.6,"FB","< 3 m [Protocole CEN]"
"ABB39",2010,201,12053,11403,"28/07/2010","18.32.00","29/07/2010","07.28.00",17,18,"FP","6 - 11,9 m Pelagique"
"ABB39",2010,201,12054,11404,"28/07/2010","18.32.00","29/07/2010","07.28.00",17,18,"FP","6 - 11,9 m Pelagique"
"ABB39",2010,201,12056,11406,"28/07/2010","18.48.00","29/07/2010","08.00.00",9,9.7,"FB","6 -11,9 m [Protocole CEN]"
"ABB39",2010,201,12057,11407,"28/07/2010","18.52.00","29/07/2010","08.04.00",4.3,4.3,"FB","3 - 5,9 m [Protocole CEN]"
"ABB39",2010,201,12058,11408,"28/07/2010","18.57.00","29/07/2010","08.10.00",0.9,1.2,"FB","< 3 m [Protocole CEN]"
"ABB39",2010,201,12059,11409,"28/07/2010","19.02.00","29/07/2010","08.15.00",1.1,1.8,"FB","< 3 m [Protocole CEN]"
