"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "81"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "74"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "71"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "78"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "90"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "85"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "80"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "75"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "85"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "86"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "84"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "76"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "79"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "89"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Coregonus lavaretus" "150"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Coregonus lavaretus" "141"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Coregonus lavaretus" "222"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Rutilus rutilus" "200"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Rutilus rutilus" "131"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "c(76, 80, 80, 78, 80, 80, 77, 76, 78, 81, 80, 77, 78, 78, 81, 80, 80, 83, 79, 81, 78, 78, 79, 79, 79, 81, 80, 80, 78, 77, 79, 77, 82, 76, 80, 79, 80, 80, 78, 77, 81, 79, 76, 81, 78, 79, 79, 81, 77, 84, 78, 82, 76, 81, 77, 81, 81, 82, 77, 83, 79, 82, 78, 78, 80, 82, 80, 80, 80, 80, 80, 78, 77, 78, 78, 75, 83, 79, 76, 78, 84, 76, 77, 81, 82, 78, 78, 83, 82, 81, 77, 80, 78)"
"ANN74" "2009" "330" "6983" "10583" "NA" "NA" "NA" "2009.10.10" "18.14.00" "2009.10.11" "08.50.00" "45" "45.6" "12 - 17,9 m Pelagique" "Perca fluviatilis" "82"
