"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "235"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "330"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "275"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "292"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "193"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "80"
"ANT74" "2007" "7" "206" "2049" "945470" "2120124" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "313"
"ANT74" "2007" "7" "207" "2050" "945233" "2119998" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Salvelinus alpinus" "222"
"ANT74" "2007" "7" "207" "2050" "945233" "2119998" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Phoxinus phoxinus" "55"
"ANT74" "2007" "7" "207" "2050" "945233" "2119998" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Phoxinus phoxinus" "55"
"ANT74" "2007" "7" "208" "2051" "945565" "2120046" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "266"
"ANT74" "2007" "7" "208" "2051" "945565" "2120046" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "157"
"ANT74" "2007" "7" "208" "2051" "945565" "2120046" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "66"
"ANT74" "2007" "7" "208" "2051" "945565" "2120046" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "76"
"ANT74" "2007" "7" "208" "2051" "945565" "2120046" "5" "2007.09.02" "NA" "2007.09.03" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "65"
