"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "78"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "60"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "62"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Blicca bjoerkna" "76"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "95"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "116"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "135"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "104"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "132"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "135"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Blicca bjoerkna" "252"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "280"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "224"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "206"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "350"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Blicca bjoerkna" "290"
"ARZ56" "2007" "27" "695" "2488" "246010" "2288934" "5" "2007.10.10" "17.40.00" "2007.10.11" "05.37.00" "3.4" "3.7" "FB" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "336"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "75"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "75"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "110"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "114"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "122"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "96"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "147"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "180"
"ARZ56" "2007" "27" "696" "2483" "246509" "2288971" "5" "2007.10.10" "17.50.00" "2007.10.11" "05.44.00" "1.8" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "222"
