"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "192"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "191"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "207"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "202"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "210"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "156"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "168"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "152"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "163"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "146"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "156"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "151"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "153"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "150"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "152"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "160"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "162"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "150"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "151"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "153"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "156"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "146"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "157"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Rutilus rutilus" "152"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Sander lucioperca" "c(64, 63, 69, 61, 59, 65, 65, 61, 63, 69, 62, 65, 64, 66, 59, 62, 65, 63, 64, 60, 64, 67, 68, 67, 66, 66, 65, 64, 66, 63, 68, 59, 62, 62, 64, 63, 69, 61, 65, 59)"
"AST32" "2017" "472" "24921" "256244" "508464" "6257048" "17329" "65400" "17330" "28800" "0" "6" "0 - 5,9 m Pelagique" "Perca fluviatilis" "c(73, 76, 73, 71, 75, 77, 72, 77, 75, 73, 76, 74, 76, 72, 73, 71, 79, 79, 78, 70, 76, 73, 70, 76, 75, 73, 70, 76, 80, 75, 71, 78, 74, 73, 75, 79, 72, 71, 79, 76, 70, 73, 75, 74)"
