"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "192"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "209"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "229"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "217"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "223"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "222"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "140"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "127"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "128"
"AYD63" "2017" "481" "25186" "256992" "698534.965526" "6506864.101563" "26" "2017.09.13" "18.26.00" "2017.09.14" "08.21.00" "1.1" "1.5" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "126"
