"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "93"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "90"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "90"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "186"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "176"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "200"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(92, 97, 92, 96, 94, 97, 96, 96, 102, 91, 95, 96, 96, 91, 97, 97, 95, 93, 97, 102, 94, 99, 102, 90, 104, 94, 97, 99, 98, 102, 99, 100, 97, 97, 89, 96, 94, 98, 97, 90, 97, 99, 92, 103, 99, 95, 93)"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "110"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "138"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "130"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "139"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "125"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "145"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "128"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "131"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "88"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "86"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "90"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "82"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "87"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "92"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "97"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "85"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "80"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "84"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "81"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "76"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "94"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "82"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "145"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "140"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "125"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "126"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "127"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "116"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "114"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "120"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "151"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "131"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "115"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "121"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "118"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "130"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "135"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "117"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "120"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "126"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "135"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "118"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "116"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "119"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "116"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(87, 87, 95, 86, 94, 90, 90, 93, 88, 96, 90, 94, 96, 93, 92, 90, 94, 94, 93, 94, 92, 89, 85, 93, 91, 87, 95, 91, 86, 96, 97, 92, 92, 86, 91, 95, 93, 96, 96, 86, 89, 89, 97, 93, 92, 84, 86, 94, 95, 98, 91, 87, 87, 95, 94, 98, 91, 86, 93, 94, 93, 89, 93, 93, 96, 89, 90, 95, 87, 95)"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "120"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "121"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "115"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "114"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "110"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "118"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "122"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "119"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "126"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "80"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "70"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "78"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "77"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "135"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "339"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "194"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "300"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "190"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "393"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Squalius cephalus" "196"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "307"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "94"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "144"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "157"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "139"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "140"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "150"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "145"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "141"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Alburnus alburnus" "149"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "112"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "115"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Perca fluviatilis" "113"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "239"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Abramis brama" "177"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "210"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "173"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "255"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "247"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Rutilus rutilus" "268"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "142"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "< 3 m [Protocole CEN]" "Sander lucioperca" "119"
