"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(138, 130, 129, 129, 136, 137, 139, 138, 135, 143, 124, 129, 141, 133, 129, 136, 142, 138, 124, 138, 133, 124, 134, 126, 137, 132, 131, 140, 128, 131, 132, 141, 125, 132, 134, 133, 131, 133, 132, 132, 137, 134, 127)"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "150"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "120"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "130"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "159"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "130"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "250"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "148"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "224"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "240"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "265"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "256"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "230"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "185"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "176"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "234"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "320"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "173"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "164"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "118"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "151"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "146"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "151"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "111"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "161"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "146"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "128"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "145"
"BMS40" "2009" "123" "6798" "10328" "386875" "1845375" "NA" "2009.06.23" "19.15.00" "2009.06.24" "07.15.00" "2.3" "3" "FB" "< 3 m [Protocole CEN]" "Esox lucius" "565"
