"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "182"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "332"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "75"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "76"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "81"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "243"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "55"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "55"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "242"
"CAN77c" "2008" "98" "4950" "5259" "646302" "2375368" "5" "2008.08.25" "19.00.00" "2008.08.26" "07.25.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "155"
