"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "130"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "117"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "70"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "50"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "79"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "102"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "96"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "67"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "62"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "55"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "70"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "182"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "142"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "123"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "162"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "193"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "240"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "336"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "197"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "276"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "172"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "90"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "156"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "120"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "178"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "122"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "126"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "120"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "117"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "135"
"ECH33" "2007" "52" "2068" "3078" "328920" "2028073" "5" "2007.09.18" "19.20.00" "2007.09.19" "08.05.00" "2.1" "2.2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "108"
