"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"ENC15" "2016" "456" "24201" "254387" "641222.11" "6442456.63" "17036" "68520" "17037" "25920" "7.4" "11.7" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "218"
"ENC15" "2016" "456" "24201" "254387" "641222.11" "6442456.63" "17036" "68520" "17037" "25920" "7.4" "11.7" "6 -11,9 m [Protocole CEN]" "Abramis brama" "192"
"ENC15" "2016" "456" "24201" "254387" "641222.11" "6442456.63" "17036" "68520" "17037" "25920" "7.4" "11.7" "6 -11,9 m [Protocole CEN]" "Abramis brama" "208"
"ENC15" "2016" "456" "24201" "254387" "641222.11" "6442456.63" "17036" "68520" "17037" "25920" "7.4" "11.7" "6 -11,9 m [Protocole CEN]" "Abramis brama" "185"
"ENC15" "2016" "456" "24201" "254387" "641222.11" "6442456.63" "17036" "68520" "17037" "25920" "7.4" "11.7" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "223"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "245"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "234"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "187"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "192"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "226"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "93"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "97"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "92"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "72"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "203"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Silurus glanis" "439"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "82"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "75"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "76"
"ENC15" "2016" "456" "24202" "254388" "638854.42" "6442526.19" "17037" "74400" "17038" "24600" "6.2" "11.1" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "78"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "c(64, 66, 66, 68, 65, 64, 68, 65, 64, 66, 64, 67, 66, 66, 68, 65, 66, 65, 66, 66, 65, 64, 67, 67, 67, 67, 67, 65, 66, 66, 65, 67, 64, 66, 65)"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "c(81, 82, 83, 84, 83, 81, 87, 87, 83, 83, 83, 87)"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "102"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "110"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "106"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "118"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "208"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "96"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "97"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "93"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "90"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "95"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "91"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "558"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "44"
"ENC15" "2016" "456" "24203" "254389" "637443.4" "6441492.97" "17038" "72480" "17039" "27960" "10.2" "12" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "104"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "136"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "122"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Abramis brama" "189"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Alburnus alburnus" "139"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "67"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "79"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "69"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "72"
"ENC15" "2016" "456" "24204" "254390" "641527.73" "6441426.66" "17035" "71640" "17036" "26700" "7.8" "7.9" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "66"
"ENC15" "2016" "456" "24205" "254391" "640295" "6443321.28" "17036" "71340" "17037" "28440" "6.1" "8.2" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "c(NA, NA, NA, NA)"
"ENC15" "2016" "456" "24205" "254391" "640295" "6443321.28" "17036" "71340" "17037" "28440" "6.1" "8.2" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "c(82, 71, 78, 82, 76, 82, 80, 79, 75, 82, 80, 72, 83, 77, 76, 81, 76, 80, 73, 78, 78, 78, 84, 73, 78, 84, 83, 75, 76, 81, 80, 74, 78, 82, 80, 78, 80, 75, 76)"
"ENC15" "2016" "456" "24205" "254391" "640295" "6443321.28" "17036" "71340" "17037" "28440" "6.1" "8.2" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "112"
"ENC15" "2016" "456" "24205" "254391" "640295" "6443321.28" "17036" "71340" "17037" "28440" "6.1" "8.2" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "87"
