"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "520"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "60"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "66"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "72"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "211"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "209"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "65"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "52"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "85"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "94"
"FIG2A" "2015" "420" "22393" "252333" "1214602.56" "6061593.125" "16595" "67020" "16596" "26400" "1" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "68"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "261"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "138"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "207"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "64"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "62"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "63"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "56"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "50"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "55"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "264"
"FIG2A" "2015" "420" "22395" "252335" "1214646.683" "6061081.567" "16595" "69300" "16596" "27900" "1.8" "2.5" "< 3 m [Protocole CEN]" "Sander lucioperca" "371"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "197"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "36"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "34"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "207"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "257"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "216"
"FIG2A" "2015" "420" "22396" "252336" "1214435.681" "6061470.625" "16595" "68160" "16596" "27600" "1.6" "2.5" "< 3 m [Protocole CEN]" "Perca fluviatilis" "71"
