"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Rutilus rutilus" "235"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Rutilus rutilus" "225"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Rutilus rutilus" "237"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "62"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "52"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "45"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "125"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "126"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "116"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "127"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "120"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "106"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "115"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "105"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "109"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Gobio gobio" "104"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "67"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "63"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "61"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "65"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "60"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "62"
"GAR09" "2018" "527" "26644" "258485" "587035" "6197796" "26" "2018.09.17" "18.41.00" "2018.09.18" "07.47.00" "2.3" "2.7" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "55"
