"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "412"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "345"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "325"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "370"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(176, 175, 179, 176, 176, 177)"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(160, 164, 162, 165, 162, 166, 161, 164, 165, 164, 165)"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Rutilus rutilus" "138"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "270"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "162"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Rutilus rutilus" "112"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "317"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "270"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "365"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "344"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "340"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(178, 171, 175, 177, 179, 179, 175, 179)"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(160, 166, 159, 165, 163, 164, 161, 168, 167, 164, 161, 165)"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "285"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "160"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "195"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "340"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "365"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "355"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "340"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "320"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "322"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "316"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "03/10/2016" "17.40.00" "04/10/2016" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "329"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "245"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Coregonus lavaretus" "c(NA, NA, NA, NA)"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "125"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "135"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "145"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "166"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "128"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "110"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "c(99, 99, 97, 101, 97, 100)"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "114"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "c(NA, NA, NA, NA)"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "95"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "57"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "165"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "152"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "c(NA, NA, NA)"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Coregonus lavaretus" "355"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Coregonus lavaretus" "348"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Coregonus lavaretus" "310"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Coregonus lavaretus" "c(NA, NA, NA)"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "175"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "c(NA, NA)"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "c(NA, NA)"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "92"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "112"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "75"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "c(NA, NA)"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "135"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "175"
"ILA39" "2016" "442" "23454" "253881" "5.9" "46.63" "31" "03/10/2016" "17.45.00" "04/10/2016" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "96"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "260"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "202"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "175"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "178"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "168"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "172"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "176"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "c(156, 159, 155, 156, 154)"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "100"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "102"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "112"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "165"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "125"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "145"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "148"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "470"
"ILA39" "2016" "442" "23455" "253882" "5.9" "46.63" "31" "03/10/2016" "17.52.00" "04/10/2016" "08.30.00" "0.5" "0.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "207"
"ILA39" "2016" "442" "23457" "253884" "5.89" "46.62" "31" "03/10/2016" "18.08.00" "04/10/2016" "08.44.00" "6.9" "10" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "428"
"ILA39" "2016" "442" "23457" "253884" "5.89" "46.62" "31" "03/10/2016" "18.08.00" "04/10/2016" "08.44.00" "6.9" "10" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "c(NA, NA, NA)"
