"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "201"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "242"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "260"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "300"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "310"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "161"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "171"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "175"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "254"
"ISS07" "2005" "40" "1621" "2794" "736697" "1980953" "5" "2005.09.12" "19.15.00" "2005.09.13" "07.45.00" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "255"
"ISS07" "2005" "40" "1622" "2795" "736751" "1980904" "5" "2005.09.13" "19.30.00" "2005.09.14" "08.15.00" "10" "-99" "FB" "6 -11,9 m [Protocole CEN]" "Coregonus lavaretus" "474"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Squalius cephalus" "329"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "166"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "171"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "176"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "190"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "242"
"ISS07" "2005" "40" "1623" "2796" "736758" "1980873" "5" "2005.09.14" "19.03.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Salmo trutta fario" "246"
"ISS07" "2005" "40" "1626" "2799" "736803" "1980806" "5" "2005.09.12" "19.20.00" "2005.09.13" "07.50.00" "10" "-99" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "170"
"ISS07" "2005" "40" "1626" "2799" "736803" "1980806" "5" "2005.09.12" "19.20.00" "2005.09.13" "07.50.00" "10" "-99" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "170"
"ISS07" "2005" "40" "1626" "2799" "736803" "1980806" "5" "2005.09.12" "19.20.00" "2005.09.13" "07.50.00" "10" "-99" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "174"
"ISS07" "2005" "40" "1627" "2800" "736805" "1980885" "5" "2005.09.14" "19.05.00" "2005.09.15" "NA" "45" "-99" "FB" "35 - 49,9 m  [Protocole CEN]" "Salmo trutta fario" "333"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Squalius cephalus" "230"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "170"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "173"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "180"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "182"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "187"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "188"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "192"
"ISS07" "2005" "40" "1628" "2801" "736819" "1981320" "5" "2005.09.14" "18.50.00" "2005.09.15" "NA" "5" "-99" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "195"
"ISS07" "2005" "40" "1629" "2802" "736836" "1981298" "5" "2005.09.14" "18.55.00" "2005.09.15" "NA" "17" "-99" "FB" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "246"
"ISS07" "2005" "40" "1629" "2802" "736836" "1981298" "5" "2005.09.14" "18.55.00" "2005.09.15" "NA" "17" "-99" "FB" "12 - 19,9 m [Protocole CEN]" "Salmo trutta fario" "361"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "209"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "219"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "220"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "226"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "240"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "252"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "260"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "341"
"ISS07" "2005" "40" "1632" "2805" "736888" "1981421" "5" "2005.09.12" "20.08.00" "2005.09.13" "NA" "2.5" "-99" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "379"
