"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "267"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Cyprinus carpio" "296"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "247"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "119"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "126"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "95"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "111"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "121"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "97"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "107"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "109"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "102"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "92"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "97"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "98"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "99"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "99"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "107"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "107"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "187"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "175"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "176"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "175"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Cyprinus carpio" "379"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "219"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"JOU11" "2008" "75" "2750" "4694" "2.6966" "43.26997" "31" "2008.10.22" "17.37.00" "2008.10.23" "NA" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "191"
