"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Perca fluviatilis" "c(62, 69, 68, 66, 59, 65, 61, 63, 60, 61, 64, 66, 58, 64, 70, 59, 63, 67, 69, 58, 71, 73, 64, 64, 69, 72, 68, 72, 66, 64, 69, 64, 67, 72, 65)"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Perca fluviatilis" "c(59, 60, 61, 57, 62, 62, 62, 56, 63, 61, 61, 58, 63, 58, 62, 65, 56, 60, 65, 63, 60, 62, 58, 59, 61)"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "60"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "58"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "56"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "53"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "62"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "51"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "61"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "65"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "64"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "63"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "57"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "59"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Rutilus rutilus" "61"
"LAF38" "2015" "428" "22649" "252610" "919067" "6438836" "16685" "64560" "16686" "27660" "0" "5.9" "0 - 5,9 m Pelagique" "Perca fluviatilis" "56"
