"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "166"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "150"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "145"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "100"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "97"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "98"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "92"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "86"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "90"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "82"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "322"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "315"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "375"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "360"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "70"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "165"
"LDC25" "2007" "4" "142" "1987" "NA" "NA" "NA" "2007.07.08" "NA" "2007.07.09" "NA" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "135"
