"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "70"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "c(62, 61, 63, 63, 63, 61, 62, 61, 63, 64)"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "60"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "66"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "71"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "80"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "180"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis brama" "322"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "133"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "330"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "80"
"LIE52" "2015" "412" "22084" "252024" "5.37533" "47.86797" "31" "22/09/2015" "19.10.00" "23/09/2015" "07.18.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "68"
"LIE52" "2015" "412" "22085" "252025" "5.37377" "47.86743" "31" "22/09/2015" "19.14.00" "23/09/2015" "07.25.00" "9.3" "9.5" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "220"
"LIE52" "2015" "412" "22085" "252025" "5.37377" "47.86743" "31" "22/09/2015" "19.14.00" "23/09/2015" "07.25.00" "9.3" "9.5" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "c(82, 89, 90, 87, 91, 86, 87, 86, 91)"
"LIE52" "2015" "412" "22085" "252025" "5.37377" "47.86743" "31" "22/09/2015" "19.14.00" "23/09/2015" "07.25.00" "9.3" "9.5" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "71"
"LIE52" "2015" "412" "22085" "252025" "5.37377" "47.86743" "31" "22/09/2015" "19.14.00" "23/09/2015" "07.25.00" "9.3" "9.5" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "160"
"LIE52" "2015" "412" "22085" "252025" "5.37377" "47.86743" "31" "22/09/2015" "19.14.00" "23/09/2015" "07.25.00" "9.3" "9.5" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "72"
"LIE52" "2015" "412" "22085" "252025" "5.37377" "47.86743" "31" "22/09/2015" "19.14.00" "23/09/2015" "07.25.00" "9.3" "9.5" "FB" "6 -11,9 m [Protocole CEN]" "Abramis" "c(66, 71, 70, 71, 67, 69, 69, 69, 69, 72, 65, 68, 66, 69, 69, 69, 69, 67, 70)"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis brama" "382"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "259"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis brama" "210"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis brama" "261"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "56"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "60"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis" "c(86, 82, 84, 86, 82, 83, 82, 82)"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis" "53"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "66"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "70"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis" "c(NA, NA, NA, NA)"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "166"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "163"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Cyprinidae" "200"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "155"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "165"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "112"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "109"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "182"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "166"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "159"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis brama" "201"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "101"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Abramis" "c(81, 74, 74, 77, 81, 79, 78, 78, 80, 80)"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "c(61, 62, 62, 63, 62)"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "62"
"LIE52" "2015" "412" "22086" "252026" "5.37749" "47.86802" "31" "22/09/2015" "19.21.00" "23/09/2015" "07.30.00" "8.1" "8.2" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "65"
"LIE52" "2015" "412" "22087" "252027" "5.383" "47.86897" "31" "22/09/2015" "19.27.00" "23/09/2015" "07.35.00" "7.2" "7.5" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "281"
"LIE52" "2015" "412" "22087" "252027" "5.383" "47.86897" "31" "22/09/2015" "19.27.00" "23/09/2015" "07.35.00" "7.2" "7.5" "FB" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "315"
"LIE52" "2015" "412" "22087" "252027" "5.383" "47.86897" "31" "22/09/2015" "19.27.00" "23/09/2015" "07.35.00" "7.2" "7.5" "FB" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "195"
