"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(133, 135, 149, 142, 129, 137, 134, 137, 138, 141, 137, 132, 133, 133, 123, 126, 140, 147, 127, 134, 125, 147, 138, 140)"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "114"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "124"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Abramis brama" "192"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Abramis brama" "167"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Abramis brama" "161"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Perca fluviatilis" "115"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Perca fluviatilis" "171"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Perca fluviatilis" "177"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Rutilus rutilus" "89"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Rutilus rutilus" "122"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Rutilus rutilus" "136"
"MIC68" "2016" "455" "24175" "254338" "7.11" "47.75" "17036" "68400" "17037" "28800" "1.4" "1.6" "< 3 m [Protocole CEN]" "Rutilus rutilus" "134"
