"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(57, 62, 61, 60, 62, 59, 61, 58, 61, 62, 55, 60, 61, 59, 58, 63, 59, 61, 61, 60, 56, 60, 56, 62, 60, 57, 59, 60, 58, 57, 63, 56, 58, 62, 63, 59)"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(62, 59, 58, 58, 55, 58, 56, 61, 62, 57, 60, 50, 52, 55, 62, 57, 49, 60, 50, 55)"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(102, 102, 111, 100, 107, 100, 103, 105, 105, 108, 110, 98, 112, 107, 102, 100, 104, 110, 104, 97, 106, 105, 109, 103, 115, 103, 107, 98, 103, 103, 112, 105, 103, 106, 99, 102, 105, 98, 109, 105, 101, 108, 105, 108, 103, 96, 107, 96, 102, 110, 103, 111, 111, 107, 100, 108, 108, 101, 107, 107, 115, 104, 100, 107, 101)"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "90"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "101"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "92"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "94"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "91"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "92"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "88"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "99"
"MIE32" "2014" "367" "20759" "247105" "483275" "6263525" "26" "2014.06.23" "19.16.00" "2014.06.24" "09.30.00" "1.8" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "98"
