"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "283"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(159, 159, 156, 159, 158, 160, 155)"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "c(NA, NA, NA, NA)"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "52"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "96"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "c(84, 84, 80, 81, 82, 80, 82, 80, 84)"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "100"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "116"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "126"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "116"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "c(87, 88, 88, 85, 87, 85, 84, 89, 89, 88, 86, 82, 87, 89, 85, 86, 85, 85, 89, 87, 86, 85, 83, 84, 88, 84, 90, 88, 84, 87, 88)"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "246"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "155"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "189"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "152"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "126"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "126"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "120"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "c(89, 86, 90, 90, 89, 86, 89, 87, 89, 90, 86, 90, 90, 86, 88)"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "150"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "120"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "c(NA, NA, NA)"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "166"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "47"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "46"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "241"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "256"
"MON71" "2008" "91" "4738" "5058" "NA" "NA" "NA" "16/06/2008" "18.00.00" "17/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "214"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Carassius auratus" "317"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "356"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "334"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "187"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "194"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Tinca tinca" "386"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "195"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "c(103, 103, 107, 107, 106, 104, 107, 106, 103, 103, 107, 106, 105, 103, 106, 102, 102)"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "204"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "218"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "186"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "196"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "178"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "188"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "126"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "118"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "124"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "115"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "121"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "122"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "c(108, 108, 108, 107, 108, 109, 107, 107, 108, 106)"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "59"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Carassius auratus" "415"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "524"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "435"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "246"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "406"
"MON71" "2008" "91" "4739" "5059" "NA" "NA" "NA" "16/06/2008" "18.10.00" "17/06/2008" "06.30.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "217"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "374"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "241"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "190"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "228"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Carassius auratus" "410"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "305"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "521"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "254"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "146"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "146"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "166"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "158"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(56, 58, 60, 58, 60, 62, 58, 61, 57, 61, 58, 60, 61, 61, 61, 57, 57, 59, 60, 60, 58)"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "197"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "188"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "188"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "146"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "166"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "327"
"MON71" "2008" "91" "4740" "5060" "NA" "NA" "NA" "16/06/2008" "18.20.00" "17/06/2008" "06.40.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(58, 57, 60, 57, 57, 58, 57, 56, 57, 57, 58, 56)"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "196"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "403"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "369"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "170"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "160"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "210"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "174"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "172"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "191"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "228"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "195"
"MON71" "2008" "91" "4742" "5062" "NA" "NA" "NA" "16/06/2008" "18.40.00" "17/06/2008" "07.00.00" "NA" "NA" "FB" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "218"
"MON71" "2008" "91" "4746" "5066" "NA" "NA" "NA" "17/06/2008" "18.00.00" "18/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "276"
"MON71" "2008" "91" "4746" "5066" "NA" "NA" "NA" "17/06/2008" "18.00.00" "18/06/2008" "06.20.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Ameiurus melas" "245"
