"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Salmo trutta fario" "310"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "120"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "120"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "120"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "126"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "130"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "135"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "178"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "188"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Telestes souffia" "194"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Salmo trutta fario" "189"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "40"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "50"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "50"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "57"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "58"
"MON74" "2006" "114" "5266" "5855" "NA" "NA" "13418" "NA" "13419" "NA" "NA" "NA" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "60"
