"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Perca fluviatilis" "75"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "291"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "263"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "212"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Blicca bjoerkna" "95"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "390"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Perca fluviatilis" "c(50, 50, 49, 49, 48, 51, 51, 51, 49, 50, 50, 50, 51, 50, 50, 50, 50, 49, 50, 50, 52, 48, 49, 50, 50, 49, 50, 51, 50, 51, 50, 51, 50, 50, 48, 50)"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "128"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "115"
"MOU52" "2008" "65" "2497" "4448" "5.25865" "47.88153" "31" "2008.09.01" "19.15.00" "2008.09.02" "07.30.00" "NA" "10.8" "0 - 5,9 m Pelagique" "Rutilus rutilus" "130"
