"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"NAN01" "2013" "350" "19924" "246270" "899038.802" "6565958.427" "26" "21/10/2013" "18.10.00" "22/10/2013" "09.15.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "91"
"NAN01" "2013" "350" "19924" "246270" "899038.802" "6565958.427" "26" "21/10/2013" "18.10.00" "22/10/2013" "09.15.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "c(103, 95, 105, 101, 97, 101, 96, 98, 109)"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "112"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "110"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "114"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "119"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "110"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "112"
"NAN01" "2013" "350" "19925" "246271" "899038.802" "6565958.427" "26" "21/10/2013" "18.11.00" "22/10/2013" "09.16.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "91"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "60"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "58"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "56"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "74"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "73"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "68"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "75"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "71"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "66"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "65"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "405"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "417"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "310"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "401"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "303"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "282"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "270"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "241"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "317"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "117"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "160"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Sander lucioperca" "138"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "125"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "268"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "134"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "137"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "135"
"NAN01" "2013" "350" "19928" "246274" "898591.134" "6566073.44" "26" "21/10/2013" "18.40.00" "22/10/2013" "09.10.00" "8.3" "9.6" "FB" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "346"
