"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"NDC38" "2008" "81" "2874" "4810" "864590" "2005663" "14067" "66000" "14068" "NA" "NA" "NA" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "210"
"NDC38" "2008" "81" "2874" "4810" "864590" "2005663" "14067" "66000" "14068" "NA" "NA" "NA" "0 - 5,9 m Pelagique" "Alburnus alburnus" "111"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Perca fluviatilis" "147"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Perca fluviatilis" "160"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Rutilus rutilus" "177"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Rutilus rutilus" "165"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Rutilus rutilus" "175"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "95"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "83"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "84"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "95"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "96"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "100"
"NDC38" "2008" "81" "2876" "4811" "863793" "2002322" "14067" "67980" "14068" "NA" "1.4" "1.8" "< 3 m [Protocole CEN]" "Barbatula barbatula" "96"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "191"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "187"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "115"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "102"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "225"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "296"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "305"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "297"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "282"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "220"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "261"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "239"
"NDC38" "2008" "81" "2877" "4812" "810149" "2000299" "14067" "68100" "14068" "NA" "9" "9.5" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "242"
"NDC38" "2008" "81" "2878" "4813" "863815" "2002829" "14067" "68700" "14068" "NA" "6.5" "7.8" "6 -11,9 m [Protocole CEN]" "Rutilus rutilus" "312"
