"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "85"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "82"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "93"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "97"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "114"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "112"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "134"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "120"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "133"
"RAB61" "2017" "469" "24752" "256177" "-0.28882" "48.78592" "31" "2017.09.06" "19.35.00" "2017.09.07" "08.55.00" "1.2" "2.3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "131"
