"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"ROC85" "2009" "152" "5521" "9051" "348021" "2193462" "NA" "2009.07.08" "19.00.00" "2009.07.09" "07.15.00" "7.4" "7.5" "6 -11,9 m [Protocole CEN]" "Abramis brama" "380"
"ROC85" "2009" "152" "5523" "9053" "348287" "2193744" "NA" "2009.07.08" "19.20.00" "2009.07.09" "07.35.00" "6.3" "7.1" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "262"
"ROC85" "2009" "152" "5523" "9053" "348287" "2193744" "NA" "2009.07.08" "19.20.00" "2009.07.09" "07.35.00" "6.3" "7.1" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "148"
"ROC85" "2009" "152" "5523" "9053" "348287" "2193744" "NA" "2009.07.08" "19.20.00" "2009.07.09" "07.35.00" "6.3" "7.1" "6 -11,9 m [Protocole CEN]" "Blicca bjoerkna" "258"
"ROC85" "2009" "152" "5523" "9053" "348287" "2193744" "NA" "2009.07.08" "19.20.00" "2009.07.09" "07.35.00" "6.3" "7.1" "6 -11,9 m [Protocole CEN]" "Abramis brama" "320"
"ROC85" "2009" "152" "5523" "9053" "348287" "2193744" "NA" "2009.07.08" "19.20.00" "2009.07.09" "07.35.00" "6.3" "7.1" "6 -11,9 m [Protocole CEN]" "Abramis brama" "245"
"ROC85" "2009" "152" "5523" "9053" "348287" "2193744" "NA" "2009.07.08" "19.20.00" "2009.07.09" "07.35.00" "6.3" "7.1" "6 -11,9 m [Protocole CEN]" "Abramis brama" "180"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(56, 51, 52, 57, 57, 56, 57, 56, 54, 55, 57, 57, 56, 54, 54, 61, 52, 57, 63, 58, 58, 56, 54, 64, 59, 55, 53, 55, 61, 60, 56, 58, 57, 58, 60, 60, 55, 59, 57, 62, 61, 58, 56, 55, 60, 59, 55, 62, 59, 58, 56, 51, 52, 55, 55, 62, 61, 59, 62, 51, 59, 60, 55, 63, 59, 58, 56, 58, 50, 52, 59, 54, 59, 65, 61, 58, 56, 56, 60, 55, 60, 57, 58, 58, 57, 61, 60, 54, 64, 61, 55, 55, 56, 53)"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "62"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "50"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "58"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "55"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "60"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "59"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "63"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "54"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "61"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "65"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "56"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "57"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "70"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "68"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "69"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "72"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "65"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "66"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "75"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "55"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "74"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "76"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "54"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(72, 59, 72, 72, 76, 59, 65, 69, 59, 57, 68, 67, 74, 67, 61, 56, 64, 63, 73, 62, 61, 73, 64, 65, 67, 60, 66)"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "250"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "200"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "180"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "228"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Abramis brama" "256"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Abramis brama" "249"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Abramis brama" "270"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "204"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "200"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "175"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "185"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "220"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "178"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "166"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "168"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "136"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "130"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "160"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "150"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "165"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "93"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "105"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "100"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "142"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "147"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "133"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "141"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "88"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "164"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "165"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "149"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "146"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "139"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "144"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "137"
"ROC85" "2009" "152" "5524" "9054" "348260" "2193838" "NA" "2009.07.08" "19.30.00" "2009.07.09" "07.40.00" "1.2" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "130"
