"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "291"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "319"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "160"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "145"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(60, 61, 60, 60, 61, 60, 61, 60, 61, 60, 61, 61, 61, 62, 61, 61, 60)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(NA, NA, NA)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(90, 83, 88, 86, 87, 90, 87, 87)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "351"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "91"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(72, 59, 67, 64, 64, 71, 73, 68, 71, 70, 68, 68, 69, 72, 60, 66, 66, 67, 69, 69, 68, 61, 61, 67, 68, 59, 74, 67, 67, 59, 70)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "155"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "c(NA, NA, NA, NA)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(NA, NA)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "115"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "277"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "235"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(NA, NA, NA, NA)"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "215"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "232"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "254"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "285"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "282"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "237"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Cyprinidae" "304"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "265"
"SET58" "2018" "510" "26080" "257899" "779942" "6676561" "26" "10/09/2018" "19.20.00" "11/09/2018" "07.50.00" "1.3" "1.8" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "230"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "282"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "283"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "55"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "102"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "155"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "130"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "135"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "c(60, 69, 70, 62, 70, 71, 70, 64, 71, 62, 68, 65, 62, 64, 62, 59, 61, 59, 67, 62, 66, 66, 71, 62, 64, 61, 69, 71, 66, 61, 67, 63, 69, 69, 76, 76, 66, 64, 61, 64, 67, 77, 73, 59, 72, 69, 66, 70, 72, 59, 71, 66, 70, 62, 68, 71, 73, 68, 68, 65, 65, 75, 69, 72, 68, 66, 68, 67, 69, 67, 63, 62, 69, 66, 73, 58, 60, 66, 63, 66, 69, 66, 62, 67, 66, 61, 68, 63, 60, 69, 73, 62, 64, 66, 57, 70, 61, 60, 67, 66, 66, 63, 67, 69, 66, 68, 65, 61, 71, 68, 62, 69, 71)"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "145"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "c(84, 80, 83, 86, 80, 85, 80, 91)"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "c(80, 85, 84, 81, 81, 77, 82, 81, 81, 80, 79, 77, 84, 84, 83, 81, 81, 77, 81, 81, 80, 81, 81, 81, 82, 79, 77, 82, 77, 82, 82, 79, 83, 82, 80, 83, 81, 79, 81, 83, 82, 84, 84, 82, 81, 81, 84, 80, 80, 77, 80, 79, 79, 77, 81, 81, 86, 85, 81, 82, 78, 77, 81, 79, 82, 85, 84, 80, 82, 80, 79, 78, 78, 82, 81, 78, 83, 78)"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "81"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "84"
"SET58" "2018" "510" "26081" "257892" "781376" "6676009" "26" "10/09/2018" "18.47.00" "11/09/2018" "08.15.00" "3" "4" "FB" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "83"
