"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(54, 50, 49, 57, 54, 51, 54, 49, 54, 56, 55, 49, 55, 57, 55, 52, 51, 52, 54, 55, 55, 55, 57, 53, 56, 51, 48, 54, 52, 48, 52, 50, 54, 56, 52, 51, 52, 52, 54, 54, 50, 54, 53, 53, 53, 52, 50, 58, 55, 54, 49, 56, 55, 55, 54, 52, 49, 55, 52, 53, 57, 55, 56, 52, 50, 51, 55, 51, 54, 50, 51, 50, 54, 54, 56, 56, 55, 50, 56, 52, 55, 51, 56, 53, 53, 57, 51, 48, 53, 50, 49, 53, 53, 53, 57, 55, 55, 54, 52, 54)"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(59, 64, 61, 66, 75, 62, 69, 69, 61, 67, 71, 69, 69, 62, 71, 58, 63, 62, 66, 72, 68, 67, 75, 70, 66, 75, 65, 72, 65, 65, 71, 72, 66, 64, 75, 74, 64, 70, 66, 63, 74, 70, 68, 67, 69, 71, 65, 68, 65, 61, 63, 69, 69, 72, 62, 58, 64, 72, 59, 68, 61, 60, 63, 65, 66, 58, 66, 64, 64, 62, 66, 62, 61, 67, 63, 71, 73, 71, 66, 65, 63, 65, 61, 69, 71, 70, 72, 64, 61, 65, 73, 65, 65, 64, 67, 66, 61, 60, 65, 66, 71, 65, 68, 73, 67, 72, 75, 63, 66, 60, 69, 71, 68, 74, 67, 75, 62, 71, 59, 71, 70, 61, 66, 63, 63, 
73, 71, 69, 71, 73, 74, 62, 68, 68, 61, 67, 67, 62, 65, 69, 69, 65, 62, 63, 71, 68, 71, 69, 62, 69, 68, 73, 73, 66, 66, 65, 68, 69, 66, 75)"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 
NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "78"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "79"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "80"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "83"
"VIN66" "2009" "159" "6061" "9591" "2.50063" "42.64817" "31" "2009.07.06" "18.15.00" "2009.07.07" "06.35.00" "1.8" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "80"
