"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "294"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "271"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "283"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "274"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "224"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "194"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "229"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "176"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "161"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "206"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "100"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "181"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "193"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "180"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "154"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Blicca bjoerkna" "159"
"AUL13" "2015" "418" "22297" "252237" "844440.163" "6278940.549" "26" "01/07/2015" "19.20.00" "02/07/2015" "07.50.00" "1.1" "2.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "131"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "64"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "70"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "88"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "89"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "101"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "96"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "99"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "100"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "66"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "68"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "67"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "63"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "69"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "79"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "68"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "67"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "69"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "64"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Tinca tinca" "81"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "59"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "57"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "58"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "51"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "49"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "48"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "57"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "54"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "52"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "58"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "61"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "65"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "63"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "49"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "54"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "63"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "58"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "68"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "61"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "54"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "56"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "50"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "53"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "61"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "60"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "51"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "62"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "111"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "112"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "76"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "71"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "74"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "64"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "72"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "82"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Lepomis gibbosus" "84"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "111"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "104"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "115"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "108"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "113"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "48"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "41"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "40"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "43"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "42"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "41"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "40"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "38"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "39"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "40"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "42"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "39"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "41"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "45"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "39"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "42"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "41"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "46"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "44"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "41"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "39"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "42"
"AUL13" "2015" "418" "22298" "252238" "844714.434" "6279209.127" "26" "01/07/2015" "18.20.00" "02/07/2015" "07.00.00" "1" "1.1" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "51"
