"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "270"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "225"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "230"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "215"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "290"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "285"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "245"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "250"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Cyprinidae" "240"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "145"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "140"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "145"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "125"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "130"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "135"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "120"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "130"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "130"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "140"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "140"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "130"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "115"
"RCE35" "2009" "313" "17034" "242853" "345160" "2355617" "5" "31/08/2009" "19.06.00" "01/09/2009" "08.28.00" "2.7" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "115"
