"code_lac" "camp_annee" "nb_id_campagne" "nb_id_prelev_poisson" "nb_id_point_prelev"
"ABB39" "2010" "1" "4" "4"
"ABB39" "2014" "1" "4" "4"
"AIG15" "2010" "1" "4" "4"
"AIG15" "2017" "1" "4" "4"
"AIG73" "2009" "1" "10" "10"
"AIG73" "2014" "1" "12" "12"
"ALE2B" "2008" "1" "1" "1"
"ALE2B" "2016" "1" "7" "7"
"ALL01" "2010" "1" "2" "2"
"ALL04" "2006" "1" "4" "2"
"ALZ81" "2011" "1" "2" "2"
"ALZ81" "2017" "1" "2" "2"
"AMA10" "2011" "1" "2" "2"
"AMA10" "2017" "1" "2" "2"
"ANN74" "2007" "1" "13" "8"
"ANN74" "2009" "1" "2" "2"
"ANN74" "2010" "1" "9" "9"
"ANN74" "2016" "1" "10" "10"
"ANS69" "2011" "1" "4" "4"
"ANS69" "2017" "1" "4" "4"
"ANT74" "2007" "1" "1" "1"
"ARG19" "2016" "1" "2" "2"
"ARJ40" "2013" "1" "3" "3"
"ARZ56" "2007" "1" "4" "1"
"AST32" "2017" "1" "1" "1"
"AVE34" "2009" "1" "6" "6"
"AYD63" "2005" "1" "2" "1"
"AYD63" "2011" "1" "2" "2"
"AYD63" "2017" "1" "2" "2"
"AYG64" "2011" "1" "2" "2"
"AYG64" "2016" "1" "1" "1"
"BAG12" "2011" "1" "2" "2"
"BAG12" "2017" "1" "2" "2"
"BAI08" "2008" "1" "1" "1"
"BAR01" "2007" "1" "2" "1"
"BCL12" "2010" "1" "7" "7"
"BCL12" "2016" "1" "2" "2"
"BCM65" "2014" "1" "1" "1"
"BDB40" "2016" "1" "1" "1"
"BIM13" "2013" "1" "9" "9"
"BIM13" "2015" "1" "5" "5"
"BLC19" "2013" "1" "6" "6"
"BMC16" "2010" "1" "3" "3"
"BOR33" "2008" "1" "3" "1"
"BOR33" "2017" "1" "2" "2"
"BOU43" "2005" "1" "3" "1"
"BOU73" "2010" "1" "21" "21"
"BOU73" "2016" "1" "17" "17"
"BOU88" "2010" "1" "1" "1"
"BOU89" "2010" "1" "4" "4"
"BOU89" "2017" "1" "1" "1"
"BRA47" "2015" "1" "1" "1"
"BSF31" "2011" "1" "3" "3"
"BSF31" "2018" "1" "2" "2"
"BUL85" "2007" "1" "6" "1"
"CAL2B" "2010" "1" "5" "5"
"CAL2B" "2014" "1" "11" "11"
"CAR66" "2009" "1" "4" "4"
"CAR83" "2008" "1" "2" "1"
"CAS04" "2010" "1" "8" "8"
"CAS04" "2015" "1" "8" "8"
"CAZ40" "2005" "1" "3" "2"
"CAZ40" "2015" "1" "3" "3"
"CEB79" "2009" "1" "1" "1"
"CEB79" "2014" "1" "4" "4"
"CHA23" "2006" "1" "2" "1"
"CHA25" "2010" "1" "9" "9"
"CHA25" "2019" "1" "6" "6"
"CHA38" "2010" "1" "3" "3"
"CHA38" "2018" "1" "5" "5"
"CHA39" "2007" "1" "8" "4"
"CHA39" "2011" "1" "9" "9"
"CHA39" "2017" "1" "8" "8"
"CHA48" "2010" "1" "2" "2"
"CHA48" "2016" "1" "2" "2"
"CHA52" "2010" "1" "2" "2"
"CHA58" "2009" "1" "2" "2"
"CHO04" "2012" "1" "5" "5"
"COD2B" "2008" "1" "4" "2"
