name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-4167.7524,-4261.5763,32.2789,-4314.7358,-4261.1895,-4209.2134,1.0051,*
1,0.0692,0.0564,0.0199,0.0236,0.0563,0.0896,0.9993,*
year,-0.0024,-0.0078,0.0176,-0.0359,-0.008,0.0214,0.9994,ns
temp,-0.0298,-0.0037,0.0204,-0.0369,-0.0031,0.0309,0.999,ns
temp^2,0.0187,0.0161,0.0082,0.0026,0.0161,0.0295,0.9993,*
type,-0.5276,-0.6178,0.0679,-0.7306,-0.6167,-0.5078,0.9998,*
type*temp,-0.0935,-0.0364,0.0504,-0.1173,-0.0364,0.0507,0.9992,ns
dbo,-0.1132,-0.1209,0.0208,-0.1547,-0.1206,-0.0874,1.0026,*
dbo^2,0.0067,0.0013,0.0105,-0.0159,0.0016,0.0189,1.0043,ns
type*dbo,-0.154,-0.0964,0.0533,-0.1833,-0.099,-0.0108,0.9994,*
temp*dbo,0.0058,0.0037,0.0173,-0.0235,0.0032,0.0334,1.0006,ns
alt,0.0793,0.0904,0.0191,0.0604,0.0901,0.1218,1.0001,*
rich,-0.4423,-0.4391,0.0181,-0.4696,-0.439,-0.4096,1.0004,*
