name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-4173.061,-4208.5647,12.5282,-4230.5361,-4207.9971,-4188.9575,1.0937,*
1,0.0743,0.0439,0.0204,0.0102,0.0442,0.0755,1.0097,*
year,-0.0034,-0.0164,0.0161,-0.0433,-0.016,0.0103,0.999,ns
temp,0.0056,-0.0041,0.0186,-0.0345,-0.0041,0.0263,1.0045,ns
temp^2,0.0097,0.0158,0.0081,0.003,0.0158,0.0294,0.999,*
type,-0.6766,-0.7016,0.066,-0.8089,-0.7029,-0.593,0.9999,*
type*temp,-0.0717,-0.0272,0.0478,-0.1072,-0.0254,0.0485,1.0028,ns
dbo,-0.1316,-0.1361,0.0199,-0.1698,-0.1359,-0.1042,0.999,*
dbo^2,0.0219,0.0146,0.0105,-0.0025,0.0141,0.0317,1.0222,ns
type*dbo,-0.3059,-0.2329,0.0518,-0.319,-0.2324,-0.1493,1.0334,*
temp*dbo,-0.015,-2e-04,0.0161,-0.0263,-7e-04,0.0271,1.0045,ns
alt,0.054,0.0839,0.0182,0.054,0.0829,0.1144,0.999,*
rich,-0.4764,-0.4428,0.0167,-0.4709,-0.4423,-0.4143,0.9996,*
