name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-4165.7529,-4265.3033,29.8177,-4314.2349,-4264.8247,-4218.9067,0.9991,*
1,0.0492,0.0544,0.0205,0.0211,0.0546,0.0893,0.999,*
type,-0.6726,-0.6206,0.0731,-0.7446,-0.6226,-0.4997,1.011,*
temp,0.0133,0,0.0203,-0.0335,0,0.0345,0.9991,ns
temp^2,0.0204,0.0162,0.0086,0.0015,0.0165,0.0302,0.9994,*
temp*type,-0.0723,-0.0317,0.0509,-0.1148,-0.0318,0.0505,1.0018,ns
dbo,-0.1295,-0.1265,0.021,-0.1626,-0.1256,-0.0924,0.999,*
dbo^2,0.0074,0.0018,0.0104,-0.015,0.0014,0.0188,0.9994,ns
dbo*type,-0.1922,-0.1402,0.0805,-0.277,-0.1405,-0.009,0.9997,*
temp*dbo,0.0039,0.0014,0.0187,-0.03,0.0014,0.0316,0.9992,ns
temp*dbo*type,0.0126,0.0426,0.0627,-0.0621,0.0448,0.1447,0.9995,ns
rich,-0.4242,-0.4426,0.0178,-0.4724,-0.4424,-0.4137,0.9993,*
alt,0.1107,0.0885,0.0188,0.058,0.0882,0.1185,0.999,*
year,0.0066,-0.0111,0.017,-0.039,-0.0111,0.0167,1.0004,ns
