name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-362.7014,-370.2861,3.2372,-376.248,-369.9197,-365.7419,1.0573,*
1,3.4218,3.4238,0.0059,3.4144,3.4238,3.4339,0.9991,*
year,0.0124,0.0113,0.0051,0.0032,0.0113,0.0194,1.002,*
temp,0.0015,-6e-04,0.0061,-0.0104,-5e-04,0.0089,1.0038,ns
temp^2,0.0061,0.0051,0.0025,0.001,0.0051,0.0093,0.9992,*
type,-0.0981,-0.0905,0.0198,-0.1222,-0.0905,-0.0594,0.999,*
type*temp,-0.0736,-0.0707,0.0145,-0.0926,-0.0708,-0.0463,1.0003,*
dbo,-0.0377,-0.0335,0.0064,-0.0438,-0.0335,-0.023,0.9991,*
dbo^2,0.0114,0.0101,0.0028,0.0054,0.01,0.0148,0.999,*
type*dbo,-0.1603,-0.1585,0.0146,-0.1821,-0.1582,-0.1355,1.0034,*
alt,-0.0781,-0.078,0.0054,-0.087,-0.0778,-0.0694,0.9993,*
