name,MaP,mean,sd,X2.5.,X50.,X97.5.,r_hat,signif
P,-3413.5796,-3501.466,30.0596,-3563.4247,-3500.8707,-3445.732,1.0034,*
Intercept,0.0136,0.0282,0.0383,-0.0483,0.0283,0.1026,1.001,ns
Ecosystem Type,-0.5404,-0.5002,0.0845,-0.6769,-0.4981,-0.3375,0.9993,*
Temperature,-0.0241,-0.0086,0.0192,-0.0469,-0.0086,0.0289,1,ns
Temperature^2,-0.0086,0.0056,0.007,-0.0078,0.0057,0.0199,1.0013,ns
Temperature * Ecosystem Type,-0.0075,-0.0665,0.0591,-0.1799,-0.0681,0.0534,0.9992,ns
BOD,-0.0101,-0.0232,0.0218,-0.0655,-0.0236,0.02,1.0004,ns
BOD^2,-1e-04,-0.0066,0.0092,-0.0247,-0.0064,0.0114,1.001,ns
Ecosystem Type * BOD,-0.2637,-0.2676,0.0703,-0.4035,-0.2685,-0.1249,0.9996,*
Temperature * BOD,-0.023,-0.0138,0.0144,-0.0419,-0.0138,0.0147,1.0006,ns
Temperature * BOD * Ecosystem Type,0.0724,0.0912,0.0679,-0.029,0.088,0.2309,1.0006,ns
Species Richness,-0.3984,-0.4344,0.0244,-0.4829,-0.435,-0.3876,1.0004,*
Year,-0.0087,-0.0082,0.0138,-0.0363,-0.0079,0.0181,0.9994,ns
